PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1084,0.5268155336,1084,1.195635676,1084,0.7763682604,1084,0.4710223079,1084,1.110143661,1084,0.796184361,1084,0.817332983,1084,1.454225183,1084,1.023630857,1084,0.5497482419,1084,1.148211837,1084,0.809618175,1084,0.6832762957,1084,1.298295975,1084,0.9156121016,
1083,0.5263639688,1083,1.194574833,1083,0.7765897512,1083,0.4708962142,1083,1.109068274,1083,0.7964428663,1083,0.817509234,1083,1.453217387,1083,1.023811936,1083,0.5495630503,1083,1.146968007,1083,0.809759438,1083,0.6830780506,1083,1.297290802,1083,0.9156963229,
1082,0.5262629986,1082,1.193309426,1082,0.7769854665,1082,0.4708585441,1082,1.108166814,1082,0.7967866063,1082,0.8174955845,1082,1.452330232,1082,1.0241431,1082,0.5496608615,1082,1.146216989,1082,0.8102232218,1082,0.6828786135,1082,1.296541572,1082,0.9159600139,
1081,0.5260073543,1081,1.192341208,1081,0.7771172523,1081,0.470603019,1081,1.107188344,1081,0.7970849276,1081,0.8171639442,1081,1.451530457,1081,1.024545431,1081,0.5496224165,1081,1.145141006,1081,0.8105939031,1081,0.682772398,1081,1.295488,1081,0.9163315296,
1080,0.5259185433,1080,1.191884041,1080,0.7779503465,1080,0.4704848826,1080,1.106190681,1080,0.7973967791,1080,0.817825675,1080,1.450729012,1080,1.025281429,1080,0.5494531989,1080,1.144451141,1080,0.8111714721,1080,0.6824441552,1080,1.294460297,1080,0.9167795777,
1079,0.5263829231,1079,1.191052318,1079,0.7786925435,1079,0.4706263244,1079,1.105484009,1079,0.7982175946,1079,0.8178898692,1079,1.450040221,1079,1.025842071,1079,0.5495753884,1079,1.143995762,1079,0.8118920922,1079,0.6827102304,1079,1.294130683,1079,0.9177711606,
1078,0.5262701511,1078,1.190278411,1078,0.7789856791,1078,0.4706793129,1078,1.104763865,1078,0.7989599705,1078,0.816893518,1078,1.449329138,1078,1.026062369,1078,0.5496658087,1078,1.14336741,1078,0.8126149178,1078,0.6831616759,1078,1.293523669,1078,0.9184849262,
1077,0.5262131691,1077,1.189503908,1077,0.7793850303,1077,0.470690161,1077,1.103858471,1077,0.7994737625,1077,0.8168908954,1077,1.448022246,1077,1.026637077,1077,0.5497222543,1077,1.142486215,1077,0.8130131364,1077,0.6831738353,1077,1.292755604,1077,0.9188734293,
1076,0.5262182355,1076,1.188242793,1076,0.7797387242,1076,0.470754534,1076,1.103196383,1076,0.7999984622,1076,0.8174727559,1076,1.44729805,1076,1.026694536,1076,0.5500386357,1076,1.14163518,1076,0.8135251999,1076,0.6831511259,1076,1.292006493,1076,0.9192996621,
1075,0.5256602168,1075,1.18712759,1075,0.7797597051,1075,0.4703491926,1075,1.102029204,1075,0.8000386953,1075,0.8170089722,1075,1.44644022,1075,1.02688992,1075,0.5497444868,1075,1.140517712,1075,0.8138272762,1075,0.6828676462,1075,1.290930748,1075,0.9194514155,
